name
Route Étoiles
Avenue Ndao
Avenue Caméléons
Chemin Sadio
Chemin Wade
Chemin Fleur d'Or
Rue Cocotiers
Chemin Liberté
Allée Aurore
Chemin Diallo
Route Ouakam
Route Poissons
Chemin Soumbédioune
Rue Fleur d'Or
Allée Lions
Route Ka
Route Hibiscus
Allée Keur
Allée Horizon
Avenue Badiane
Rue Wade
Avenue Sarr
Avenue Plateau
Allée Mbengue
Rue Ngor
Chemin Sarr
Allée Diodio
Allée Teranga
Avenue Lô
Chemin Gorée
Chemin Casuarinas
Rue Vagues
Avenue Coumba
Rue Vent
Rue Ndour
Rue Fall
Boulevard Plateau
Route Cauri
Route Tam-tam
Boulevard Pikine
Route Sarr
Rue Espoir
Chemin Lagune
Route Océan
Rue Dunes
Boulevard Thiam
Rue Colline
Rue Caméléons
Boulevard Soumbédioune
Boulevard Ndour
Allée Ngor
Allée Jigeen
Route Safran
Rue Pikine
Allée Navétanes
Chemin Cissé
Avenue Samba Laobé
Allée Tam-tam
Allée Colibris
Route Cap
Rue Soumbédioune
Avenue Pikine
Chemin Sénégal
Chemin Sy
Avenue Jigeen
Chemin Ngor Virage
Boulevard Phare
Boulevard Diop
Boulevard Tam-tam
Rue Baobabs
Boulevard Wade
Rue Paix
Avenue Plage
Allée Faye
Route Lagune
Boulevard Hibiscus
Avenue Safran
Route Mango
Chemin Médina
Route Corniche
Route Espoir
Rue Dakar
Allée Parasol
Boulevard Colibris
Allée Palmiers
Avenue Faye
Boulevard Perles
Boulevard Samba
Allée Dunes
Allée Yoff
Route Kermel
Chemin Caméléons
Route Sy
Boulevard Caméléons
Boulevard Jigeen
Allée Vagues
Rue Coumba
Chemin Tam-tam
Avenue Ngor
Boulevard Sarr
